ticket_id,customer_id,order_id,ticket_category,ticket_created_date,resolution_status,resolution_time_hours,customer_sentiment
7500001,129434,9057422,Technical Support,25-01-2023 22:05,Resolved,42,Neutral
7500002,149267,,Wrong Item,12-09-2023 19:38,Escalated,-5,Neutral
7500003,116912,9179257,Return Request,19-03-2025 22:12,Escalated,158,Positive
7500004,132454,9249225,Return Request,29-09-2022 05:33,Escalated,116,Neutral
7500005,138274,9132525,Delivery Issue,29-09-2024 11:30,Open,64,Negative
7500006,118515,9184212,Technical Support,01-12-2024 14:58,Closed,54,Neutral
7500007,119666,9001075,Refund,17-12-2022 13:49,Open,61,Neutral
7500008,134488,9084440,Refund,18-03-2024 22:54,Resolved,57,
7500009,128958,9074339,Account Issue,10-02-2024 13:57,Open,29,Negative
7500010,126424,,Delivery Issue,30-06-2022 14:41,Open,7540,Negative
7500011,109224,9169189,Account Issue,10-03-2025 08:46,Resolved,3424,Negative
7500012,103941,9069062,Account Issue,22-10-2024 22:51,Resolved,107,Negative
7500013,143232,9193576,Account Issue,27-07-2024 21:09,Escalated,188,Negative
7500014,146166,9043522,Payment Issue,03-01-2022 08:20,Open,57,Neutral
7500015,108779,9161392,,19-06-2022 11:11,Open,90,Neutral
7500016,110439,9009004,Return Request,24-06-2024 17:13,Escalated,16,Negative
7500017,124352,9230124,Account Issue,20-11-2022 19:41,Open,22,Positive
7500018,140344,9035803,,25-08-2022 17:13,Open,201,Negative
7500019,105936,9241488,Product Quality,22-09-2023 09:51,Resolved,176,Neutral
7500020,116543,9187822,Cancellation,03-11-2023 03:50,Open,39,Neutral
7500021,110951,9166156,Payment Issue,29-09-2023 06:12,Resolved,212,Neutral
7500022,106260,9145346,Account Issue,06-07-2024 19:40,Resolved,13,Positive
7500023,117840,9247398,Return Request,18-07-2023 21:58,Open,63,Negative
7500024,114115,9000816,Product Quality,03-06-2024 15:29,Closed,19,Negative
7500025,140814,9239285,Payment Issue,13-08-2024 03:58,Open,3,Negative
7500026,136161,9026521,Product Quality,11-12-2024 17:52,open,78,Negative
7500027,126420,9207792,Account Issue,24-12-2023 19:58,Open,5,Negative
7500028,145169,9232461,Wrong Item,29-03-2023 21:47,Resolved,155,
7500029,117538,,,26-12-2022 22:27,Open,24,Neutral
7500030,115594,9218714,Payment Issue,15-05-2022 10:27,Open,36,Neutral
7500031,128235,9176596,Return Request,20-12-2022 20:35,Resolved,-2,Negative
7500032,132777,9135848,Account Issue,03-05-2024 07:17,Resolved,35,Negative
7500033,139906,9000216,Account Issue,15-07-2024 21:54,Resolved,15,Positive
7500034,141718,9123774,Refund,24-01-2025 13:38,Open,4,Positive
7500035,136574,9207916,Delivery Issue,05-03-2025 20:34,Open,125,Neutral
7500036,121079,9008163,Wrong Item,18-05-2024 13:12,Resolved,14,Negative
7500037,100254,9232586,Delivery Issue,22-10-2022 21:55,Open,8,Neutral
7500038,125180,9086225,Delivery Issue,26-03-2023 20:34,Escalated,204,Negative
7500039,101143,9056562,Delivery Issue,25-10-2023 13:57,Resolved,51,Negative
7500040,121153,9241647,Delivery Issue,26-03-2023 13:22,Open,21,Positive
7500041,123067,9177008,Cancellation,09-03-2024 12:12,Resolved,-5,Negative
7500042,134169,9082181,Refund,30-05-2023 07:54,Open,4,Negative
7500043,109483,9235441,Delivery Issue,09-05-2023 20:04,open,22,Negative
7500044,127522,9177187,Refund,09-11-2022 01:59,Escalated,14,Negative
7500045,129248,9132222,Product Quality,13-05-2024 12:03,Open,122,Positive
7500046,136161,9119153,Product Quality,17-11-2023 03:38,Open,20,Positive
7500047,135579,9246827,,20-02-2023 03:34,Resolved,5461,Neutral
7500048,141320,,Account Issue,20-02-2022 10:18,Resolved,22,Negative
7500049,110181,9032443,,18-09-2022 18:47,Resolved,107,Positive
7500050,144977,9051098,Account Issue,12-01-2025 15:37,Closed,4,Negative
7500051,107239,9149572,Payment Issue,22-12-2022 20:43,Escalated,60,Positive
7500052,105884,9050083,Product Quality,18-03-2023 08:24,Resolved,3967,Neutral
7500053,148079,9201383,Technical Support,11-09-2022 14:16,Open,165,Negative
7500054,148383,9072475,Wrong Item,26-01-2025 11:20,Open,7,Negative
7500055,112800,9106333,Cancellation,27-05-2022 08:54,Resolved,61,Neutral
7500056,106485,9205748,Return Request,02-01-2024 21:42,Open,236,Neutral
7500057,113332,,Delivery Issue,30-09-2022 08:37,RESOLVED,98,Negative
7500058,114226,9189307,Account Issue,27-10-2024 08:58,Resolved,5919,Negative
7500059,138076,9194291,Technical Support,01-02-2025 15:57,Resolved,77,Negative
7500060,120796,,Technical Support,08-01-2022 10:25,Escalated,55,Negative
7500061,111817,9174420,Wrong Item,25-07-2022 09:16,Resolved,26,Negative
7500062,147752,9097932,Cancellation,23-10-2023 22:33,Resolved,-8,Neutral
7500063,112601,,Wrong Item,12-08-2024 23:39,Resolved,50,Negative
7500064,145057,9011299,Delivery Issue,09-04-2023 20:22,Closed,207,Neutral
7500065,137255,9204497,Technical Support,04-04-2024 12:34,Resolved,54,Negative
7500066,115852,9179090,,21-01-2022 17:12,Open,17,Neutral
7500067,134455,,Refund,24-10-2022 09:51,Escalated,23,Negative
7500068,127045,9189206,Delivery Issue,01-09-2022 22:22,Open,11,Negative
7500069,102765,9123971,Cancellation,25-02-2023 21:44,Resolved,38,Negative
7500070,137744,,Delivery Issue,07-08-2024 14:59,Resolved,62,Neutral
7500071,107599,9192581,Delivery Issue,14-08-2023 20:51,Escalated,5,Negative
7500072,107200,9240005,Refund,15-07-2022 00:49,Resolved,12,Negative
7500073,121384,9104638,Cancellation,08-03-2023 13:24,Escalated,106,Neutral
7500074,131023,,Account Issue,03-02-2022 10:51,Resolved,68,Negative
7500075,147095,9190939,Delivery Issue,07-07-2023 21:23,open,11,Negative
7500076,120106,9093134,Account Issue,26-01-2026 10:00,Resolved,165,Neutral
7500077,116235,9208389,Return Request,27-09-2022 09:40,Resolved,93,Positive
7500078,116615,9176849,Product Quality,15-12-2024 21:20,Open,117,Neutral
7500079,141751,9159894,Refund,11-04-2024 23:52,Escalated,-6,Negative
7500080,129907,9123884,Return Request,04-01-2025 08:57,open,3304,Negative
7500081,120019,,Delivery Issue,27-09-2024 21:16,Open,82,Negative
7500082,122681,9067820,Delivery Issue,24-07-2023 21:23,Resolved,31,Neutral
7500083,118774,9207921,Delivery Issue,31-12-2023 17:40,Escalated,20,Negative
7500084,141615,,Refund,24-10-2023 00:03,Resolved,133,Neutral
7500085,105441,9105580,Payment Issue,22-01-2023 01:35,Open,7218,Negative
7500086,107892,9023717,Technical Support,26-03-2025 21:48,Open,9228,Negative
7500087,119542,9076806,Payment Issue,08-09-2022 10:46,Resolved,198,Negative
7500088,111373,9218141,,30-09-2024 17:20,Resolved,17,Negative
7500089,143269,9165668,Return Request,01-07-2023 21:19,RESOLVED,1,
7500090,122285,9103902,Cancellation,03-02-2023 21:56,Resolved,9,Neutral
7500091,108314,9146363,Wrong Item,14-01-2025 14:32,Open,34,Neutral
