ticket_id,customer_id,order_id,ticket_category,ticket_created_date,resolution_status,resolution_time_hours,customer_sentiment,has_order_flag
7500001,129434,9057422,Technical Support,2023-01-25 22:05:00,Resolved,42,Neutral,1
7500003,116912,9179257,Return Request,2025-03-19 22:12:00,Escalated,158,Positive,1
7500004,132454,9249225,Return Request,2022-09-29 05:33:00,Escalated,116,Neutral,1
7500005,138274,9132525,Delivery Issue,2024-09-29 11:30:00,Open,64,Negative,1
7500006,118515,9184212,Technical Support,2024-12-01 14:58:00,Closed,54,Neutral,1
7500007,119666,9001075,Refund,2022-12-17 13:49:00,Open,61,Neutral,1
7500008,134488,9084440,Refund,2024-03-18 22:54:00,Resolved,57,Unknown,1
7500009,128958,9074339,Account Issue,2024-02-10 13:57:00,Open,29,Negative,1
7500012,103941,9069062,Account Issue,2024-10-22 22:51:00,Resolved,107,Negative,1
7500013,143232,9193576,Account Issue,2024-07-27 21:09:00,Escalated,188,Negative,1
7500014,146166,9043522,Payment Issue,2022-01-03 08:20:00,Open,57,Neutral,1
7500015,108779,9161392,Unknown,2022-06-19 11:11:00,Open,90,Neutral,1
7500016,110439,9009004,Return Request,2024-06-24 17:13:00,Escalated,16,Negative,1
7500017,124352,9230124,Account Issue,2022-11-20 19:41:00,Open,22,Positive,1
7500019,105936,9241488,Product Quality,2023-09-22 09:51:00,Resolved,176,Neutral,1
7500020,116543,9187822,Cancellation,2023-11-03 03:50:00,Open,39,Neutral,1
7500022,106260,9145346,Account Issue,2024-07-06 19:40:00,Resolved,13,Positive,1
7500023,117840,9247398,Return Request,2023-07-18 21:58:00,Open,63,Negative,1
7500024,114115,9000816,Product Quality,2024-06-03 15:29:00,Closed,19,Negative,1
7500025,140814,9239285,Payment Issue,2024-08-13 03:58:00,Open,3,Negative,1
7500026,136161,9026521,Product Quality,2024-12-11 17:52:00,Open,78,Negative,1
7500027,126420,9207792,Account Issue,2023-12-24 19:58:00,Open,5,Negative,1
7500028,145169,9232461,Wrong Item,2023-03-29 21:47:00,Resolved,155,Unknown,1
7500029,117538,,Unknown,2022-12-26 22:27:00,Open,24,Neutral,0
7500030,115594,9218714,Payment Issue,2022-05-15 10:27:00,Open,36,Neutral,1
7500032,132777,9135848,Account Issue,2024-05-03 07:17:00,Resolved,35,Negative,1
7500033,139906,9000216,Account Issue,2024-07-15 21:54:00,Resolved,15,Positive,1
7500034,141718,9123774,Refund,2025-01-24 13:38:00,Open,4,Positive,1
