order_item_id,order_id,product_id,quantity,unit_price,discount_amount,item_total
10000001,9034465,50926,1.0,14013.8,2439.11,11574.69
10000004,9101683,58303,1.0,28069.982,1896.92,26173.06
10000005,9208832,50078,3.0,13023.65,789.09,38281.86
10000006,9206089,53887,2.0,52040.82,9044.6,95037.04
10000007,9246280,52371,2.0,87921.35,22244.06,153598.64
10000008,9064484,51718,2.0,1041.6,268.13,1815.07
10000009,9229595,51148,2.0,168537.95,17179.72,319896.18
10000010,9007175,56453,3.0,15284.6,2113.55,43740.25
10000011,9013036,55370,1.0,263.92,16.84,247.08
10000012,9189859,57917,1.0,603.75,107.2,496.55
10000013,9131342,58235,1.0,3865.03,447.91,3417.12
10000014,9033495,59817,4.0,3654.18,350.07,14266.65
10000015,9198912,54865,1.0,18800.98,2635.22,16165.76
10000016,9185872,56877,1.0,60179.89,3436.07,56743.82
10000017,9240200,54521,2.0,8014.8,2180.4,13849.2
10000018,9038549,56547,1.0,49007.55,5512.44,43495.11
10000019,9143117,56716,1.0,3449.1,731.84,2717.26
10000020,9039672,52782,1.0,5710.92,741.39,4969.53
10000021,9204131,54694,2.0,43061.615,7928.03,78195.2
10000022,9119358,54654,1.0,3830553.493999986,75088.3,3755465.19
10000023,9226811,55618,2.0,12135.59,2656.19,21614.99
10000024,9007703,54536,1.0,187420.87,30897.51,156523.36
10000025,9071460,52660,2.0,12622.5,1647.4,23597.6
10000026,9121766,59970,1.0,37602.11,2097.89,35504.22
10000027,9146435,58835,1.0,70680.13,17651.05,53029.08
10000028,9055190,53137,4.0,256754.8,60796.04,966223.16
10000029,9160940,54542,1.0,224.58,15.17,209.41
10000030,9063125,53969,1.0,24694.538,5076.22,19618.32
10000031,9084499,55359,4.0,275823.94,13906.13,1089389.63
10000032,9004256,58254,3.0,1335.42,213.15,3793.11
10000033,9231933,50690,2.0,30662.1,4005.16,57319.04
10000034,9066823,51995,3.0,197746.23,36064.31,557174.38
10000035,9213671,55910,2.0,15952.65,20447.16,11458.14
10000036,9080620,55087,2.0,1103.6329999999998,128.85,2078.42
10000037,9113664,52676,1.0,2009.188,256.15,1753.04
10000038,9066520,50841,1.0,28977.52,3979.41,24998.11
10000039,9063433,58189,2.0,5138.92,1539.94,8737.9
10000040,9134331,51911,1.0,4175.96,665.08,3510.88
10000041,9155241,52620,2.0,72796.125,5543.43,140048.82
10000042,9196508,58916,2.0,267658.06,77237.09,458079.03
10000043,9199922,51262,1.0,5232.1,1391.92,3840.18
10000044,9143165,55889,3.0,261819.21,21586.59,763871.04
10000045,9065492,56834,1.0,247.04,32.38,214.66
10000046,9232636,52091,4.0,881.85,63.43,3463.97
10000047,9142009,57141,3.0,100.83,22.21,280.28
10000048,9030399,58981,1.0,2499.382,440.68,2058.7
10000050,9070798,51057,1.0,88323.0,8453.87,79869.13
10000051,9173225,57533,1.0,22325.99,827.13,21498.86
10000052,9226347,59062,2.0,60886.886,13556.5,108217.27
10000053,9167155,56532,1.0,635.701,33.95,601.75
10000054,9212343,57349,1.0,258844.13,25970.35,232873.78
10000055,9076012,50617,1.0,1105.63,81.95,1023.68
10000056,9068131,51942,1.0,2674.77,454.13,2220.64
10000057,9117513,50907,4.0,1328.82,110.25,5205.03
10000058,9020120,53925,1.0,831.64,239.38,592.26
10000059,9134638,53757,2.0,54019.91,7893.06,100146.76
10000060,9074714,52912,1.0,2531.84,561.38,1970.46
10000061,9235572,55440,1.0,3795.8,895.96,2899.84
10000062,9159243,57693,1.0,123.14,11.75,111.39
10000063,9079364,59478,1.0,193071.37,14222.69,178848.68
10000064,9050667,53631,2.0,334.33,25.07,643.59
10000065,9125042,57553,1.0,13247.15,404.13,12843.02
10000066,9030278,53413,1.0,711.97,164.62,547.35
10000067,9179413,58898,1.0,559.71,93.08,466.63
10000068,9197881,59264,1.0,4955.84,111.69,4844.15
10000069,9074065,58190,1.0,6750.3,1991.56,4758.74
10000070,9219742,53278,1.0,15774.36,3066.49,12707.87
10000071,9129526,56726,2.0,17361.04,858.98,33863.1
10000072,9164174,57548,2.0,239636.87,37186.24,442087.5
10000073,9012821,55280,1.0,2054.59,308.07,1746.52
10000074,9001827,53627,1.0,147594.69,35472.26,112122.43
10000075,9192171,57567,1.0,3546.74,548.61,2998.13
10000076,9188361,57005,3.0,3328.13,659.08,9325.31
10000077,9066439,53816,1.0,2942.83,245.76,2697.07
10000078,9247931,54053,1.0,52424.706000000006,6900.98,45523.73
10000079,9241094,54096,1.0,850.92,18.02,832.9
10000080,9049678,55332,1.0,20642.03,1272.52,19369.51
10000081,9203986,58476,3.0,532.7,113.66,1484.44
10000082,9092554,50554,2.0,2117.3725,466.87,3767.88
10000083,9058768,50716,2.0,58622.54,824.64,116420.44
10000084,9207036,50383,2.0,44122.61,1705.17,86540.05
10000085,9031912,51876,1.0,1003.93,260.97,742.96
10000086,9170136,52564,3.0,531.793,127.41,1467.97
10000087,9230501,54042,1.0,311.41,93.12,218.29
10000088,9179137,51015,2.0,57481.59,17236.67,97726.51
10000089,9112533,51863,2.0,1057.56,37.42,2077.7
10000090,9112561,55222,1.0,51721.69,11908.64,39813.05
10000091,9169875,58887,1.0,122388.0,33594.33,88793.67
10000092,9074268,56037,1.0,782.83,188.08,594.75
10000093,9033589,53939,1.0,38029.86,19014.93,19014.93
10000094,9183690,56233,2.0,20410.38,4465.0,36355.76
10000095,9049246,52629,2.0,4209.59,294.59,8124.59
10000096,9190373,58902,1.0,4014.55,922.47,3092.08
10000097,9206812,52066,1.0,4086.819,683.61,3403.21
10000098,9180884,50924,4.0,191796.01,18836.8,748347.24
10000099,9219153,53236,2.0,13144.94,2442.33,23847.55
10000100,9126765,57252,1.0,1994.87,471.73,1523.14
10000101,9030289,56484,3.0,1023.93,253.42,2818.37
10000102,9242472,56525,5.0,205143.29,33094.31,992622.14
10000103,9045301,59376,2.0,13540.59,129.89,26951.29
10000104,9061077,51533,3.0,49799.263,9688.48,139709.31
10000105,9129906,54549,1.0,439.39,16.2,423.19
10000106,9106694,54461,1.0,8044.65,393.39,7651.26
10000108,9099606,50078,1.0,12113.44,3121.21,8992.23
10000109,9194140,56185,1.0,457.23,91.19,366.04
10000110,9180930,55548,3.0,1272.3425,146.01,3671.02
10000111,9222747,56644,1.0,18843.26,2239.89,16603.37
10000112,9037292,58316,1.0,3218.94,77.54,3141.4
10000113,9136498,50351,2.0,2654.13,40.32,5267.94
10000114,9239633,59482,1.0,98978.09,28197.96,70780.13
10000115,9237070,50593,2.0,604.1635,604.1635,604.16
10000116,9056604,52271,1.0,3479.98,736.18,2743.8
10000117,9164948,58836,1.0,643.44,85.86,557.58
10000118,9128252,58165,1.0,826.57,34.2,792.37
10000119,9112349,52810,4.0,1132.09,188.15,4340.21
10000120,9175792,51390,1.0,8116.08,2118.35,5997.73
10000121,9001039,56118,1.0,342.07,59.38,282.69
10000122,9120363,52407,2.0,2986.05,200.96,5771.14
10000123,9194629,59781,1.0,527.22,121.66,405.56
10000124,9120052,53095,2.0,7914.04,231.08,15597.0
10000125,9054195,55581,1.0,989.35,494.675,494.68
10000126,9159111,53636,2.0,1231.147,365.43,2096.86
10000127,9116077,58413,1.0,6422.92,1010.84,5412.08
10000128,9073042,58456,2.0,17383.34,1044.68,33722.0
10000129,9244621,54597,5.0,116.64,33.2,550.0
10000130,9061598,52478,2.0,997.55,298.39,1696.71
10000131,9232513,51770,1.0,201062.03,41923.08,159138.95
10000132,9083380,57647,1.0,15519.87,888.16,14631.71
10000133,9222695,54624,1.0,6092.0415,35.97,6056.07
10000134,9202096,52019,1.0,1804.042,492.02,1312.02
10000135,9152795,58556,2.0,230016.69,39923.95,420109.43
10000136,9074665,53016,1.0,119037.16,34137.25,84899.91
10000138,9060397,59228,1.0,1546.27,157.42,1388.85
10000139,9009686,54366,2.0,18736.95,4256.87,33217.03
10000140,9038973,58384,1.0,6040.2,317.05,5723.15
10000142,9249680,52740,1.0,3096.75,634.57,2462.18
10000143,9085426,54990,4.0,933.1859999999999,197.21,3535.53
10000144,9128060,59763,1.0,61158.74,9833.08,51325.66
10000145,9060602,56261,2.0,204.12,59.84,348.4
10000146,9038158,54070,3.0,2308.58,139.08,6786.66
10000147,9057117,52494,1.0,2728.39,773.26,1955.13
10000148,9029509,53304,2.0,582.62,52.31,1112.93
10000150,9028461,57409,1.0,285.63,8.93,276.7
10000151,9071073,59177,5.0,64718.3,13869.69,309721.81
10000152,9202317,59674,3.0,5107.67,1060.22,14262.79
10000153,9179417,54338,1.0,31098.6,6187.06,24911.54
10000154,9003250,54356,2.0,9352.41,1431.01,17273.81
10000155,9029192,59091,1.0,821.24,81.0,740.24
10000156,9046227,52047,1.0,1729.18,57.2,1671.98
10000157,9181378,50798,1.0,934.94,241.29,693.65
10000158,9208445,59089,2.0,5266.312,134.3,10398.32
10000159,9166838,54319,1.0,137964.98,23657.78,114307.2
10000160,9107047,56095,2.0,16298.5,202.26,32394.74
10000161,9154071,52286,1.0,1565.07,176.18,1388.89
10000162,9228989,55438,2.0,139138.01,9340.3,268935.72
10000163,9088763,56468,1.0,527.49,104.69,422.8
10000164,9043681,54739,1.0,3473.74,142.11,3331.63
10000165,9070266,54688,2.0,229489.63,19131.29,439847.97
10000166,9226533,55770,1.0,800.98,223.79,577.19
10000167,9176378,51490,1.0,288513.8,77782.96,210730.84
10000169,9139880,59182,1.0,604.63,135.29,469.34
10000170,9099364,59910,1.0,12422.19,3653.59,8768.6
10000171,9166110,50146,1.0,1281.68,110.49,1171.19
10000172,9115595,54167,1.0,142637.59,16714.43,125923.16
10000173,9130607,55269,1.0,153196.6,35143.11,118053.49
10000174,9239273,56680,2.0,12655.69,1452.72,23858.66
10000175,9246107,54049,1.0,69615.87,20434.07,49181.8
10000176,9189985,54529,1.0,24028.29,5094.54,18933.75
10000177,9102250,57188,3.0,681.27,117.4,1926.41
10000178,9040309,58103,1.0,17725.82,4962.28,12763.54
10000179,9107648,51945,1.0,15829.32,7914.66,7914.66
10000180,9035641,52086,3.0,442.74,63.54,1264.68
10000181,9058812,57928,1.0,2525.59,277.69,2247.9
10000182,9060128,57375,1.0,5476.467,1116.28,4360.19
10000183,9119810,52913,2.0,632.11,73.15,1191.07
10000184,9031557,50430,1.0,15445.03,2235.38,13209.65
10000185,9093901,53204,2.0,3699.69,767.57,6631.81
10000186,9042811,54792,1.0,11645.0,2560.24,9084.76
10000187,9205680,58658,2.0,75969.87,12618.17,139321.57
10000188,9142812,54994,1.0,12438.44,3081.43,9357.01
10000189,9249380,59328,1.0,54030.08,9677.79,44352.29
10000190,9053610,59033,1.0,45580.41,4651.52,40928.89
10000191,9239879,53066,1.0,23306.94,442.05,22864.89
10000192,9098141,57844,1.0,19635.72,5816.68,13819.04
10000193,9156403,58530,1.0,55716.51,657.75,55058.76
10000194,9174733,56289,2.0,14390.21,136.62,28643.8
10000195,9139978,58074,1.0,47656.23,8583.39,39072.84
10000196,9188976,55251,1.0,331.09,97.43,233.66
10000197,9064745,59074,1.0,73035.59,3168.91,69866.68
10000198,9110865,51590,1.0,9172.44,1392.76,7779.68
10000199,9025356,58991,2.0,54183.14,14230.85,94135.43
10000200,9005208,51678,1.0,4092.68,310.92,3781.76
10000202,9001314,51574,2.0,36706.68,41.14,73372.22
10000203,9179308,56786,2.0,744.09,100.23,1387.95
10000204,9113231,55930,1.0,41431.74,4713.56,36718.18
10000206,9117151,54986,3.0,703.63,92.56,2018.33
10000207,9121028,56851,1.0,15851.94,2920.07,12931.87
10000208,9048818,59240,3.0,4765.36,230.76,14065.32
10000209,9066166,53681,1.0,18492.8,5190.24,13302.56
10000210,9228745,53401,3.0,87053.74,16364.38,244796.84
10000211,9057489,59882,1.0,595.17,4.06,591.11
10000212,9183200,56850,2.0,14251.625,231.35,28271.9
10000213,9040482,55686,2.0,72852.7,16000.81,129704.59
10000214,9038852,51346,1.0,77759.38,6174.53,71584.85
10000215,9005775,55176,4.0,207.19,21.23,807.53
10000216,9029013,53266,1.0,318.77,65.45,253.32
10000217,9196562,58715,2.0,682.28,165.44,1199.12
10000218,9034693,53430,1.0,629.68,96.82,532.86
10000219,9116688,58957,1.0,99.48,20.76,78.72
10000220,9009710,59473,2.0,812.78,185.77,1439.79
10000221,9131013,58590,1.0,136953.69,3169.97,133783.72
10000222,9140457,51734,1.0,819.17,192.48,626.69
10000223,9129541,58070,3.0,529.48,86.09,1502.35
10000224,9228827,50991,4.0,7692.31,1267.92,29501.32
10000225,9155558,50068,4.0,20228.9,26170.53,54745.07
10000226,9069239,53377,1.0,3362.96,328.37,3034.59
10000227,9001044,57755,1.0,582.934,59.5,523.43
10000228,9236076,57643,1.0,1314.45,342.87,971.58
10000229,9036159,58792,1.0,218.06,13.27,204.79
10000230,9151130,54179,1.0,185712.45,15739.62,169972.83
10000232,9090137,56827,2.0,399.44,114.48,684.4
10000233,9106499,56332,2.0,638.3,65.37,1211.23
10000234,9140403,59920,3.0,834.072,207.32,2294.9
10000235,9001673,57903,1.0,2585.76,719.77,1865.99
10000236,9120953,52920,2.0,2254.2,2.02,4506.38
10000237,9203898,57264,3.0,3856.69,316.66,11253.41
10000238,9085292,55495,1.0,66788.72,2633.03,64155.69
10000239,9111229,50528,4.0,108731.35,21103.79,413821.61
10000240,9145700,56680,1.0,12888.04,2646.71,10241.33
10000241,9160409,59169,1.0,162.55,37.5,125.05
10000242,9177647,54125,2.0,135222.76,2843.77,267601.75
10000243,9096776,57423,1.0,1751.5,356.03,1395.47
10000244,9016869,58663,3.0,313.51,83.57,856.96
10000245,9201838,56825,3.0,3275.684,336.22,9490.83
10000246,9027190,57435,1.0,236.01,57.41,178.6
10000247,9224310,56945,2.0,114660.1,8851.19,220469.01
10000248,9200656,59872,2.0,54902.84,7646.22,102159.46
10000249,9168794,53934,1.0,689.48,170.11,519.37
10000250,9233740,54372,2.0,64633.04,1958.35,127307.73
10000251,9163912,52400,1.0,376.378,50.53,325.85
10000252,9049040,51618,2.0,3255.49,3.02,6507.96
10000253,9026763,59469,1.0,5976.07,828.5,5147.57
10000254,9038396,59142,1.0,3740.47,210.49,3529.98
10000255,9185242,51066,4.0,99014.3,5468.44,390588.76
10000256,9185622,56199,2.0,777.14,51.6,1502.68
10000258,9051456,52231,1.0,790.28,124.88,665.4
10000259,9149596,57262,1.0,436.25,82.94,353.31
10000260,9148262,59462,1.0,2299.82,472.43,1827.39
10000261,9171139,57072,5.0,1510.12,40.6,7510.0
10000262,9142576,51826,2.0,166360.32,41983.08,290737.56
10000263,9042494,54565,2.0,7087.0869999999995,613.94,13560.23
10000264,9130572,56088,1.0,1786.11,361.29,1424.82
10000265,9139176,56653,1.0,7913.16,2356.33,5556.83
10000266,9113635,56663,1.0,11066.07,2057.6,9008.47
10000267,9119196,57062,1.0,5573.62,942.44,4631.18
10000268,9124634,52859,4.0,56506.6,14229.75,211796.65
10000269,9155888,50376,4.0,12209.65,1370.08,47468.52
10000270,9223744,52718,1.0,155694.1,6087.52,149606.58
10000271,9187934,51283,2.0,19216.135,1853.74,36578.53
10000272,9099224,50304,1.0,241973.91,18309.55,223664.36
10000273,9051402,55343,4.0,385.27,74.51,1466.57
10000274,9086864,54009,2.0,1209.04,35.74,2382.34
10000275,9038203,59559,1.0,4236187.94,589051.9,3647136.04
