product_id,product_name,category,sub_category,brand,base_price,cost_price,product_rating,return_eligible,seller_id
50001,Fast&Up Medical Mini 9,Health,Medical Devices,FAST&UP,223.76,101.08,4.07,Yes,7111
50002,MRF Badminton Flex 4,Sports,Badminton,MRF,8460.19,6038.29,4.81,Yes,7867
50003,TITAN Men Elite 6,Fashion,Men Clothing,TITAN,49117.27,24827.04,2.55,Yes,8588
50004,HUL Staples Smart 8,Grocery,Staples,HUL,254075.46,169524.58,3.03,Yes,8106
50006,Dabur Fruits Plus 4,Grocery,Fruits Vegetables,DABUR,18023.6,11093.77,2.85,Yes,8488
50007,Cosco Yoga Air 6,Sports,Yoga,COSCO,3059.9,2028.22,4.58,Yes,8266
50008,Shell Tools Edge 4,Automotive,Tools,SHELL,12838.47,6015.0,4.16,Yes,8874
50009,Mattel Remote Plus 3,Toys,Remote Control,MATTEL,525.13,360.33,3.04,No,7638
50010,Dabur Supplements Neo 4,Health,Supplements,DABUR,6487856.02,4187009.18,3.02,Yes,7610
50011,Michelin Lubricants Premium 1,Automotive,Lubricants,MICHELIN,266304.59,213043.67200000002,2.88,Yes,8492
50012,Nestle Fruits Plus 9,Grocery,Fruits Vegetables,NESTLE,43607.86,28387.22,3.29,No,8863
50013,Maybelline Skincare Neo 7,Beauty,Skincare,MAYBELLINE,172064.55,104486.35,4.09,Yes,8312
50014,Cosco Fitness Elite 2,Sports,Fitness Equipment,COSCO,18589.98,11566.72,4.01,Yes,8820
50015,Vega Car Plus 4,Automotive,Car Accessories,VEGA,46299.9,21579.5,4.05,Yes,7923
50016,Cipla Ayurveda Neo 9,Health,Ayurveda,CIPLA,10266.62,4549.23,4.62,Yes,8477
50017,Milton Furniture Edge 5,Home Kitchen,Furniture,MILTON,157474.47,90557.19,3.1,Yes,8507
50018,Muscleblaze Vitamins Mini 7,Health,Vitamins,MUSCLEBLAZE,2030.19,1436.66,3.31,Yes,7794
50019,S.Chand Children Air 5,Books,Children Books,S.CHAND,92327.07,59358.6,2.67,Yes,8542
50020,Castrol Car Edge 9,Automotive,Car Accessories,CASTROL,1846.18,1033.64,2.65,Yes,8601
50021,Cosco Badminton Mini 7,Sports,Badminton,COSCO,4026.54,1727.56,4.11,Yes,8692
50022,Orient Decor X 1,Home Kitchen,Decor,ORIENT,7697.4,5252.51,2.64,No,7558
50023,Nike Sports Shoes Pro,Beauty,Skincare,NIVEA,70789.16,32739.37,3.28,No,8897
50024,HarperCollins Non X 5,Books,Non Fiction,HARPERCOLLINS,32666.03,21978.61,4.56,Yes,8364
50025,Orient Bedding Ultra 5,Home Kitchen,Bedding,ORIENT,13445.8,6090.62,4.03,Yes,7088
50026,Gillette Fragrances Smart 5,Beauty,Fragrances,GILLETTE,2415.58,1601.34,3.3,No,8870
50027,Havells Lighting Elite 1,Home Kitchen,Lighting,HAVELLS,1071.62,753.7,4.9,Yes,7143
50028,LG Headphones Edge 8,Electronics,Headphones,LG,921.85,563.78,4.56,Yes,7447
50029,Decathlon Cycling Plus 8,Sports,Cycling,DECATHLON,1060.16,487.3,4.47,Yes,8300
50030,Ok Play Soft Neo 6,Toys,Soft Toys,OK PLAY,137286.75,89053.86,4.51,Yes,8518
50031,Vivo Cameras Pro 4,Electronics,Cameras,VIVO,4846.4,3418.68,3.76,Yes,8638
50032,Usha Storage Air 8,Home Kitchen,Storage,USHA,43565.45,24309.11,3.77,Yes,8973
50034,Biotique Makeup Mini 9,Beauty,Makeup,BIOTIQUE,15689.04,7743.61,2.66,No,7285
50035,Lego Board Lite 2,Toys,Board Games,LEGO,9426.18,3894.38,4.42,Yes,7427
50036,Michelin Lubricants Max 6,Automotive,Lubricants,MICHELIN,3135.6,1855.63,2.56,Yes,8994
50037,Usha Cookware Neo 7,Home Kitchen,Cookware,USHA,194.39,125.28,3.51,Yes,7209
50038,Vivo Smart Elite 1,Electronics,Smart Tvs,VIVO,3196.21,1731.75,3.22,Yes,8369
50039,Bosch Tools Flex 7,Automotive,Tools,BOSCH,2739.05,2191.2400000000002,4.29,Yes,8980
50040,Pigeon Bedding Smart 4,Home Kitchen,Bedding,PIGEON,605.83,276.77,3.38,Yes,7630
50041,webby Educational Edge 7,Toys,Educational,WEBBY,71301.91,40826.09,4.23,Yes,8915
50042,Bosch Tyres Premium 5,Automotive,Tyres,BOSCH,10144.47,4718.58,2.71,No,8622
50043,Scholastic Non Max 1,Books,Non Fiction,SCHOLASTIC,2099.51,1425.84,2.71,Yes,7688
50044,Lego Remote Plus 7,Toys,Remote Control,LEGO,248995.72,140930.11,3.93,Yes,7932
50045,Vivo Mobiles Neo 7,Electronics,Mobiles,VIVO,2816.23,1640.68,2.55,Yes,7697
50046,Borosil Lighting Pro 1,Home Kitchen,Lighting,BOROSIL,241.52,157.26,4.29,Yes,7918
50047,Nikon Headphones X 9,Electronics,Headphones,NIKON,247021.89,152363.33,3.22,Yes,7828
50048,Maybelline Makeup Air 2,Beauty,Makeup,MAYBELLINE,137034.93,77081.5,4.58,No,8258
50049,HarperCollins Self Smart 7,Books,Self Help,HARPERCOLLINS,240.02,137.48,4.89,No,8347
50050,Bajaj Storage Air 1,Home Kitchen,Storage,BAJAJ,429.61,209.77,3.37,Yes,7460
50051,MRF Swimming Mini 8,Sports,Swimming,MRF,4264.83,2186.36,2.78,Yes,8805
