return_id,order_id,customer_id,return_reason,return_request_date,return_status,return_pickup_status,is_suspicious_return
8000001,9104490,102865.0,missing parts,2024-06-27 10:59:00,Approved,Picked,0
8000002,9161939,131653.0,wrong item delivered,2023-11-24 17:34:00,Approved,Not Picked,0
8000003,9002298,101747.0,duplicate order,2022-09-17 01:25:00,Rejected,Not Picked,0
8000004,9050756,127483.0,duplicate order,2024-07-22 00:15:00,Pending,Picked,1
8000005,9089900,132093.0,quality issue,2022-06-18 00:54:00,Pending,Picked,0
8000006,9007656,147657.0,not as described,2022-08-24 22:43:00,Rejected,Not Picked,1
8000008,9000632,144908.0,duplicate order,2023-05-13 20:10:00,Approved,Not Picked,1
8000009,9107222,126447.0,quality issue,2024-08-02 15:35:00,Approved,Not Picked,0
8000010,9186683,125358.0,color mismatch,2023-12-14 00:57:00,Pending,Picked,1
8000011,9071717,124674.0,size issue,2022-07-02 02:49:00,Rejected,Not Picked,0
8000012,9095225,146146.0,product not working,2024-02-27 10:00:00,Approved,Picked,0
8000013,9189681,105911.0,packaging damaged,2025-03-05 20:08:00,Pending,Picked,0
8000014,9215103,123646.0,defective product,2024-04-11 06:13:00,Pending,Picked,0
8000015,9187145,135505.0,defective product,2024-10-16 19:11:00,Rejected,Picked,0
8000016,9053451,137333.0,changed mind,2024-06-07 15:55:00,Rejected,Picked,0
8000017,9109318,140515.0,missing parts,2023-10-29 00:10:00,Approved,Picked,0
8000018,9068230,127615.0,packaging damaged,2024-02-17 07:02:00,Approved,Picked,0
8000019,9045539,135976.0,missing parts,2022-08-25 08:00:00,Approved,Picked,0
8000020,9238477,139196.0,product not working,2025-01-04 17:19:00,Rejected,Picked,0
8000021,9189331,131434.0,wrong item delivered,2024-01-22 01:07:00,Approved,Not Picked,0
8000022,9114755,106982.0,product not working,2023-11-17 16:22:00,Approved,Not Picked,0
8000023,9074446,138218.0,defective product,2024-11-11 11:19:00,Pending,Picked,0
8000024,9030891,124173.0,packaging damaged,2024-03-20 10:09:00,Pending,Failed,0
