review_id,order_id,customer_id,product_id,rating,review_text,review_date
9500001,9220697,118258,59172,4,Great product! Exactly as described.,2023-06-16
9500002,9009543,132165,59887,3,"Average product, nothing special.",2023-06-21
9500003,9193066,120679,51845,4,Customer support was helpful.,2023-11-02
9500004,9101273,116027,57357,4,"Poor quality, not recommended.",2023-06-19
9500005,9019435,149944,56008,4,"Average product, nothing special.",2024-08-11
9500006,9042941,114419,54233,5,Size was different from what I ordered.,2024-09-06
9500007,9216423,128535,57468,4,Size was different from what I ordered.,2023-08-16
9500008,9123367,114039,58000,5,"Delivered on time, quality is good.",2025-02-19
9500009,9051328,134839,57480,4,Late delivery but product is fine.,2023-07-08
9500010,9136656,120791,53365,4,Great product! Exactly as described.,2023-10-18
9500011,9210142,148211,59655,5,"Average product, nothing special.",2022-12-01
9500012,9089837,135713,56720,3,Good value for money.,2023-06-29
9500013,9134795,102196,55968,3,Late delivery but product is fine.,2024-01-11
9500014,9172370,128199,55161,4,Customer support was helpful.,2023-08-19
9500015,9133280,147237,56616,1,"Not as described, very disappointed.",2023-06-24
9500016,9104002,100115,53751,4,No Review Provided,2023-07-04
9500017,9016715,132426,53417,4,"Fast delivery, packaged well.",2023-06-21
9500018,9047200,138747,57569,5,"Excellent quality, will buy again!",2023-06-17
9500019,9124094,100904,55890,5,Product stopped working after 2 days.,2023-07-02
9500020,9103621,105932,55170,5,"Average product, nothing special.",2024-05-26
9500021,9079207,148331,51815,4,"Fast delivery, packaged well.",2024-10-23
9500022,9183025,100234,55628,2,"Not as described, very disappointed.",2023-01-12
9500023,9190565,112934,58122,5,Product stopped working after 2 days.,2023-06-19
9500024,9248002,113150,56178,3,Product was damaged on arrival.,2023-01-15
9500025,9057424,133793,53625,3,"Average product, nothing special.",2023-07-08
9500026,9110364,122903,59741,5,Product stopped working after 2 days.,2025-03-01
9500027,9142033,119636,50382,4,"Genuine product, no complaints.",2024-09-09
9500028,9083506,128811,50260,3,Product was damaged on arrival.,2023-07-13
9500029,9224757,136134,50628,5,Would not recommend to anyone.,2024-11-16
9500031,9217255,107149,52285,1,"Genuine product, no complaints.",2023-07-06
9500032,9194239,141748,50911,4,"Quick delivery, happy with purchase.",2024-04-12
9500033,9023281,137615,52274,4,Great product! Exactly as described.,2024-01-26
9500034,9064372,142232,51526,5,"Excellent quality, will buy again!",2022-07-24
9500035,9157970,118570,59591,5,No Review Provided,2024-02-13
9500036,9139121,110598,58303,5,No Review Provided,2023-07-10
9500037,9020503,119535,59164,5,Absolutely love this product!,2022-11-27
9500038,9035763,124138,50741,5,Customer support was helpful.,2022-12-06
9500039,9137315,133520,56067,3,Size was different from what I ordered.,2022-04-16
9500040,9098609,112330,51611,3,Product stopped working after 2 days.,2023-06-24
9500041,9225550,146414,55413,4,Absolutely love this product!,2024-09-10
9500042,9061379,140374,57977,2,"Not as described, very disappointed.",2023-07-13
9500043,9206936,130489,54580,4,"Poor quality, not recommended.",2023-07-02
9500044,9138538,147308,50340,5,"Quick delivery, happy with purchase.",2024-09-11
9500045,9118632,110428,59399,4,No Review Provided,2024-11-07
9500048,9062506,128416,51883,5,"Delivered on time, quality is good.",2025-01-11
9500049,9116388,136335,53363,4,"Genuine product, no complaints.",2022-05-25
9500050,9212287,111130,51973,4,Good value for money.,2023-01-24
9500051,9172020,137702,53030,3,Product stopped working after 2 days.,2022-10-27
9500052,9027447,143653,50541,4,Late delivery but product is fine.,2024-09-02
9500053,9227840,123253,56717,5,"Delivered on time, quality is good.",2023-06-24
