seller_id,seller_name,seller_city,seller_rating,seller_type,onboarding_date,return_rate_percent,seller_status
7001,Best Shoppe,Hyderabad,3.45,Individual,2023-11-03,11.28,Active
7002,Sky Plaza,Visakhapatnam,4.19,Brand,2022-09-07,14.84,Active
7003,Sun Retail,Gurugram,3.28,Individual,2020-04-04,10.98,Active
7004,Apex Gallery,Jaipur,3.5,Brand,2025-02-01,17.17,Active
7005,Royal Depot,Chennai,4.62,Brand,2022-09-07,12.74,Suspended
7006,Zen Plaza,Thiruvananthapuram,4.58,Individual,2024-03-03,10.45,Inactive
7007,Quick Depot,Noida,2.69,Individual,2022-09-07,2.69,Active
7008,Star Hub,Hyderabad,3.66,Brand,2022-08-03,13.27,Inactive
7009,Sky Deals,Bangalore,3.47,Brand,2023-07-01,12.47,Active
7010,Easy World,Mumbai,4.17,Brand,2022-09-07,3.68,Active
7011,Nova Gallery,Mumbai,3.57,Individual,2022-09-07,5.44,Suspended
7012,Nova World,Indore,4.59,Brand,2022-09-07,8.35,Inactive
7013,Beta Electronics,Noida,4.05,Business,2022-09-07,5.58,Suspended
7014,Royal Plaza,Jaipur,4.44,Business,2022-09-07,7.55,Active
7015,Nova Hub,Jaipur,3.11,Business,2023-02-11,3.54,Inactive
7016,Super Shoppe,Bangalore,4.12,Business,2022-09-07,21.18,Inactive
7017,Star Bazaar,Chennai,3.18,Business,2022-09-07,18.34,Active
7018,Easy Traders,Visakhapatnam,3.66,Business,2022-09-07,7.83,Active
7019,Quick Retail,Kolkata,3.19,Business,2022-09-07,9.53,Active
7020,Bright Outlet,Mumbai,3.05,Business,2023-06-04,12.62,Active
7021,Peak Retail,Visakhapatnam,3.13,Individual,2020-01-09,20.97,Active
7022,Bright World,Gurugram,3.21,Individual,2021-10-04,7.35,Active
7023,Beta Fashion,Jaipur,4.09,Individual,2022-09-07,10.86,Active
7024,Beta World,Visakhapatnam,2.66,Business,2023-06-11,4.13,Active
7025,Easy Enterprises,Hyderabad,4.48,Business,2022-11-07,7.24,Active
7026,Sky Plaza,Jaipur,4.41,Individual,2022-09-07,4.65,Active
7027,Zen Plaza,Mumbai,4.27,Business,2023-08-11,6.56,Active
7028,Smart Bazaar,Noida,4.77,Individual,2020-05-12,13.5,Inactive
7029,Zen Enterprises,Lucknow,4.86,Business,2022-09-07,19.68,Active
7030,Alpha Traders,Ahmedabad,3.94,Brand,2023-08-10,13.1,Active
7031,Flash Emporium,Delhi,3.59,Business,2022-09-07,8.0,Inactive
7032,Mega Bazaar,Lucknow,3.5,Individual,2022-09-07,7.79,Active
7033,Flash Electronics,Chennai,2.64,Business,2022-09-07,16.96,Active
7034,Best Emporium,Visakhapatnam,4.93,Individual,2022-09-07,1.29,Active
7035,Prime Emporium,Ahmedabad,3.75,Business,2022-09-07,11.13,Active
7036,Star Deals,Kolkata,4.7,Individual,2024-05-06,8.14,Active
7037,Alpha Zone,Indore,5.0,Individual,2023-08-01,7.98,Active
7038,Mega Hub,Noida,3.08,Individual,2024-05-03,20.18,Active
7039,Star Outlet,Delhi,3.98,Individual,2022-09-07,20.12,Active
7040,Star Traders,Lucknow,4.23,Brand,2024-11-10,12.21,Active
7041,Bright Shoppe,Pune,4.21,Individual,2020-04-07,3.07,Inactive
7042,Zen Store,Gurugram,3.31,Business,2022-01-06,12.15,Inactive
7043,Royal Store,Indore,4.21,Business,2022-09-07,6.33,Active
7044,Zen Zone,Delhi,4.86,Business,2022-09-07,10.59,Active
7045,Bright Enterprises,Kolkata,3.24,Individual,2022-09-07,6.76,Suspended
7046,Beta Plaza,Indore,3.22,Business,2022-09-07,4.99,Suspended
7047,Star Enterprises,Ahmedabad,4.47,Business,2022-09-07,7.2,Active
7048,Star Shoppe,Bangalore,4.78,Individual,2022-09-07,21.32,Inactive
7049,Prime Emporium,Delhi,3.06,Brand,2022-09-07,17.9,Inactive
7050,Alpha World,Visakhapatnam,4.37,Business,2022-09-07,3.28,Active
7051,Peak Retail,Noida,4.09,Brand,2022-09-07,3.94,Active
7052,Bright Enterprises,Thiruvananthapuram,3.47,Business,2022-09-07,9.8,Active
7053,Apex Enterprises,Kolkata,4.88,Business,2022-09-07,5.96,Active
7054,Super Shoppe,Ahmedabad,3.5,Individual,2024-02-10,2.93,Active
