delivery_id,order_id,warehouse_id,delivery_partner,dispatch_date,delivery_attempts,delivery_status,delay_days
6000001,9090295,112,Ekart,13-11-2023,1,Failed,1
6000002,9066720,110,Xpressbees,01-11-2024,1,Returned,0
6000003,9109884,103,DTDC,28-08-2022,1,Delivered,1
6000004,9117033,101,Ekart,04-11-2023,1,Returned,3
6000005,9025173,147,EKART,27-02-2022,1,In Transit,3
6000006,9096062,117,Shadowfax,29-04-2023,2,Failed,2
6000007,9122960,132,DTDC,16-12-2023,1,Returned,9
6000008,9072254,119,XpressBees,06-07-2023,1,Delivered,3
6000009,9159400,149,India Post,11-10-2024,1,Delivered,0
6000010,9019079,134,India Post,06-01-2022,1,Delivered,1
6000011,9160319,134,Ekart,05-12-2022,1,Delivered,0
6000012,9050531,109,DTDC,17-07-2023,1,Delivered,0
6000013,9151702,146,India Post,28-06-2024,1,Delivered,0
6000014,9068875,123,EKART,10-03-2025,1,Delivered,0
6000015,9028989,147,Ekart,21-12-2023,1,Delivered,0
6000016,9024964,143,Shadowfax,25-07-2024,1,Delivered,0
6000017,9071778,147,Delhivery,01-06-2024,1,Delivered,0
6000018,9021325,123,Ekart,26-11-2022,2,Delivered,3
6000019,9042948,101,Ekart,22-06-2024,2,Delivered,1
6000020,9032203,113,Ekart,29-07-2023,1,Failed,2
6000021,9122518,130,India Post,04-02-2024,1,Delivered,3
6000022,9142312,104,Ekart,30-12-2022,2,Delivered,2
6000023,9233861,144,EKART,02-01-2022,2,In Transit,0
6000024,9033367,109,XpressBees,28-10-2024,1,Delivered,1
6000025,9200164,143,Shadowfax,27-09-2023,3,Delivered,0
6000026,9188536,101,Ekart,15-08-2024,1,In Transit,0
6000027,9045044,144,DTDC,25-07-2023,1,Failed,3
6000028,9243308,134,India Post,01-10-2022,1,Delivered,1
6000029,9212620,129,BlueDart,24-12-2022,2,Delivered,1
6000030,9071787,123,Ekart,04-04-2022,3,Delivered,0
6000031,9206939,142,Delhivery,20-02-2024,2,Delivered,-3
6000032,9019951,139,Delhivery,07-10-2023,1,Returned,1
6000033,9000215,111,Blue Dart,01-10-2023,1,Delivered,0
6000034,9043400,116,XpressBees,17-10-2022,1,Failed,3
6000035,9039525,105,Shadowfax,11-07-2022,1,Delivered,2
6000036,9174382,104,Blue Dart,07-11-2023,1,Delivered,3
6000037,9242100,118,FedEx India,01-04-2022,1,Returned,1
6000038,9229268,129,Amazon Logistics,20-06-2022,1,In Transit,0
6000039,9076947,132,India Post,11-09-2023,1,Delivered,0
6000040,9061487,142,Delhivery,09-02-2023,3,Delivered,0
6000041,9049475,139,Shadowfax,29-12-2024,3,Returned,2
6000042,9173657,122,Delhivery,24-12-2024,1,Delivered,8
6000043,9145159,111,DTDC,21-12-2023,1,Delivered,0
6000044,9195113,130,Shadowfax,11-03-2025,1,Delivered,1
6000045,9127311,101,DTDC,11-08-2024,1,Delivered,1
6000046,9122494,125,Ekart,27-03-2025,1,Delivered,0
6000047,9241479,106,XpressBees,10-10-2024,1,Delivered,-2
6000048,9248308,127,Ekart,28-10-2023,1,Out for Delivery,10
6000049,9206501,115,BlueDart,01-09-2023,1,Failed,1
6000050,9067906,136,XpressBees,02-12-2022,1,Delivered,0
6000051,9214432,144,Ekart,15-04-2023,1,In Transit,1
6000052,9224981,106,Xpressbees,21-03-2023,1,Delivered,1
6000053,9165547,,India Post,12-08-2024,1,Delivered,2
6000054,9166457,146,BlueDart,27-02-2024,1,Failed,2
6000055,9125071,141,Shadowfax,26-09-2024,1,Delivered,2
6000056,9170574,137,India Post,22-12-2024,1,Delivered,0
6000057,9148437,125,Delhivery,20-10-2024,1,Returned,1
6000058,9228937,146,Delhivery,19-12-2023,2,Out for Delivery,0
6000059,9153485,116,BlueDart,29-04-2023,1,Failed,0
6000060,9211455,103,XpressBees,02-04-2024,2,Delivered,-1
6000061,9197787,114,India Post,03-09-2024,1,Delivered,6
6000062,9034927,130,BlueDart,18-03-2022,1,Delivered,0
6000063,9066638,107,delhivery,30-09-2023,1,Returned,0
6000064,9193311,147,Delhivery,23-04-2024,1,Delivered,11
6000065,9218440,123,FedEx India,19-07-2023,1,Delivered,1
6000066,9054731,131,Ekart,09-11-2023,3,Failed,1
6000067,9176023,145,India Post,16-09-2022,1,Returned,0
6000068,9134202,102,Ekart,10-11-2024,15,Delivered,1
6000069,9179309,101,India Post,29-06-2022,3,delivered,1
6000070,9051473,124,FedEx India,17-07-2023,1,Returned,1
6000071,9023918,141,India Post,20-03-2022,1,Delivered,3
6000072,9239241,143,DTDC,25-07-2022,3,Delivered,0
6000073,9151458,122,DTDC,10-03-2023,1,Delivered,0
6000074,9228295,132,EKART,21-12-2024,1,Delivered,0
6000075,9195075,145,XpressBees,16-03-2024,1,Returned,2
6000076,9210878,112,FedEx India,27-12-2024,1,Failed,1
6000077,9098621,143,DTDC,16-12-2022,1,In Transit,1
6000078,9064664,102,Shadowfax,02-08-2024,2,Delivered,1
6000079,9116561,116,FedEx India,18-02-2024,15,Returned,7
6000080,9185200,113,Ekart,27-09-2024,1,Delivered,1
6000081,9201596,122,Xpressbees,06-06-2022,1,Delivered,0
6000082,9087410,105,XpressBees,22-08-2024,2,Delivered,1
6000083,9083708,134,Blue Dart,08-01-2023,1,Delivered,1
6000084,9174290,101,Delhivery,15-02-2023,1,Delivered,0
6000085,9188295,120,Delhivery,28-01-2023,2,Delivered,0
6000086,9020486,103,Delhivery,20-10-2024,1,Delivered,0
6000087,9169349,124,Ekart,23-07-2022,1,Failed,0
6000088,9168821,143,Ekart,19-03-2024,2,Delivered,1
6000089,9177021,101,FedEx India,23-10-2024,1,In Transit,1
6000090,9109927,144,XpressBees,25-09-2022,1,Out for Delivery,0
6000091,9016598,131,Amazon Logistics,23-01-2023,1,Delivered,3
6000092,9018669,108,Delhivery,28-12-2023,2,In Transit,2
6000093,9078419,110,Delhivery,19-04-2024,2,Out for Delivery,3
6000094,9236803,101,Delhivery,30-10-2022,2,Returned,2
6000095,9020251,119,XpressBees,22-10-2023,2,Delivered,1
6000096,9041760,134,FedEx India,18-05-2024,1,In Transit,3
6000097,9021619,112,delhivery,21-09-2023,3,Delivered,0
6000098,9244806,146,DTDC,08-01-2025,1,Returned,2
6000099,9216014,121,BlueDart,07-04-2022,1,In Transit,0
6000100,9165939,114,XpressBees,03-06-2022,1,Delivered,1
6000101,9124039,123,BlueDart,14-10-2023,1,Delivered,0
6000102,9084573,107,BlueDart,02-11-2023,1,Failed,2
6000103,9198126,126,Shadowfax,03-06-2024,1,Delivered,0
6000104,9031284,104,India Post,25-09-2023,1,Delivered,2
6000105,9221801,137,BlueDart,21-07-2024,1,Delivered,1
6000106,9024011,121,EKART,08-04-2023,1,FAILED,3
6000107,9205033,115,XpressBees,06-06-2024,1,Failed,0
6000108,9120659,116,Ekart,21-08-2022,2,Delivered,2
6000109,9062261,103,Delhivery,22-10-2024,1,Failed,0
6000110,9131483,122,Delhivery,20-01-2022,1,Delivered,0
6000111,9024561,142,delhivery,05-03-2023,2,Delivered,0
6000112,9246316,120,Delhivery,10-08-2023,3,Returned,10
6000113,9026274,102,Ekart,17-10-2024,1,Delivered,0
6000114,9172644,,India Post,06-07-2022,1,Returned,0
6000115,9103535,138,BlueDart,21-10-2023,2,Failed,1
6000116,9059313,139,BlueDart,18-07-2022,2,Delivered,1
6000117,9133012,,XpressBees,25-06-2023,1,FAILED,1
6000118,9156857,128,Xpressbees,10-09-2024,1,Delivered,0
6000119,9031270,112,BlueDart,06-04-2024,2,Delivered,2
6000120,9243168,116,Delhivery,01-02-2022,1,Returned,10
6000121,9128090,108,Ekart,17-10-2022,1,Failed,1
6000122,9165221,125,Ekart,23-03-2022,2,In Transit,0
6000123,9109533,136,FedEx India,02-06-2023,1,Delivered,1
6000124,9230148,126,India Post,23-04-2024,1,Failed,3
6000125,9149913,140,Ekart,22-10-2024,1,Delivered,1
6000126,9143655,119,BlueDart,19-11-2023,1,Delivered,5
6000127,9066841,111,BlueDart,07-01-2023,1,Delivered,5
6000128,9159922,137,BlueDart,08-08-2023,1,Delivered,3
6000129,9008199,101,DTDC,27-02-2022,2,Delivered,1
6000130,9194701,149,Shadowfax,29-12-2023,1,Delivered,1
6000131,9220222,121,DTDC,06-06-2023,1,Delivered,6
6000132,9177066,150,BlueDart,13-08-2022,1,Returned,1
6000133,9104560,103,XpressBees,22-02-2022,2,Delivered,0
6000134,9176638,140,India Post,23-03-2023,2,Failed,0
6000135,9033849,110,XpressBees,21-10-2022,2,Delivered,1
6000136,9142808,132,Xpressbees,03-02-2025,1,Delivered,2
6000137,9101682,136,India Post,26-07-2022,1,Delivered,0
6000138,9041087,120,DTDC,19-01-2025,1,Delivered,1
6000139,9172454,115,FedEx India,04-11-2023,1,Delivered,1
6000140,9193578,114,XpressBees,02-11-2023,1,Delivered,1
6000141,9196238,126,DTDC,25-03-2022,1,Returned,4
6000142,9013520,145,FedEx India,28-09-2022,2,Delivered,0
6000143,9099119,143,delhivery,11-06-2023,1,Delivered,1
6000144,9100248,105,Ekart,07-01-2023,1,Delivered,11
6000145,9118644,148,Shadowfax,12-03-2024,1,Delivered,2
6000146,9034749,125,Delhivery,08-05-2023,1,Returned,0
6000147,9247130,146,Ekart,10-12-2024,1,Delivered,1
6000148,9218899,143,DTDC,21-03-2025,1,Delivered,9
6000149,9044884,106,Ekart,31-10-2022,2,In Transit,0
6000150,9160143,108,XpressBees,03-11-2022,2,Failed,2
6000151,9039077,146,Ekart,26-12-2022,1,Delivered,0
6000152,9106491,146,Delhivery,31-10-2023,1,Delivered,5
6000153,9023779,118,FedEx India,13-05-2023,2,Delivered,2
6000154,9221581,142,DTDC,08-11-2023,1,In Transit,0
6000155,9072507,109,Ekart,09-02-2025,1,Delivered,0
6000156,9188393,140,BlueDart,27-09-2022,1,Delivered,1
6000157,9169992,136,EKART,13-05-2023,1,Delivered,3
6000158,9224633,107,Ekart,27-12-2023,1,Delivered,1
6000159,9234247,111,Ekart,28-10-2023,1,Delivered,2
6000160,9107668,145,XpressBees,20-07-2023,1,Delivered,1
6000161,9221999,142,Delhivery,23-10-2022,1,Failed,1
6000162,9201458,136,DTDC,22-06-2022,1,Delivered,12
6000163,9124545,140,BlueDart,22-10-2022,2,Returned,2
6000164,9239682,124,Delhivery,13-05-2024,1,Failed,0
6000165,9082861,112,DTDC,21-08-2024,1,Delivered,1
6000166,9084840,112,BlueDart,23-05-2022,3,Failed,0
6000167,9164568,,Shadowfax,21-05-2024,1,Returned,3
6000168,9147767,141,Ekart,26-02-2025,1,Delivered,2
6000169,9232425,145,FedEx India,24-04-2023,2,Delivered,0
6000170,9009816,145,delhivery,15-09-2022,1,Delivered,2
6000171,9183134,145,FedEx India,06-09-2023,1,Delivered,1
6000172,9129200,136,Amazon Logistics,27-01-2023,1,Delivered,1
6000173,9081250,135,EKART,04-06-2022,1,Delivered,3
6000174,9034361,117,DTDC,02-03-2022,2,Delivered,3
6000175,9210771,113,Delhivery,21-07-2024,1,Delivered,1
6000176,9082503,150,XpressBees,29-03-2022,1,Delivered,1
6000177,9039210,143,BlueDart,23-11-2022,1,Returned,0
6000178,9239516,138,BlueDart,10-11-2022,1,In Transit,3
