payment_id,order_id,payment_method,payment_status,payment_amount,payment_datetime,transaction_reference
3000001,9046181,UPI,Success,176441.25,08-08-2023 17:28,TXN_PGXFZF0Q64
3000002,9032157,UPI,Refunded,8340.27,10-08-2022 14:16,TXN_4TORI6R916
3000003,9114603,EMI,Success,7425.37,07-12-2022 18:56,TXN_KVKZGIU1BP
3000004,9248198,UPI,Success,1852.17,19-04-2023 05:20,
3000005,9194773,Card,Refunded,1319.53,01-06-2022 19:02,TXN_S7ON2LTHTO
3000006,9155281,upi,Pending,8769.84,27-09-2022 19:48,TXN_QXOBGY7X9N
3000007,9126100,EMI,Success,1256.9,29-12-2024 20:21,TXN_QCM1N3R6DS
3000008,9140420,UPI,Success,2169.8,06-05-2022 07:32,TXN_7WYV7XQ84J
3000009,9116122,Card,Success,170415.79,01-07-2024 12:50,TXN_05WZ24Y2R2
3000010,9246701,UPI,Success,11963.81,01-01-2024 13:56,TXN_3KY1TTCSC3
3000011,9117215,NetBanking,Success,2721.43,18-10-2022 10:35,TXN_H56TCNY6EQ
3000012,9230337,Card,Failed,2249.75,21-11-2023 23:03,TXN_A63LUF723D
3000013,9117945,UPI,Success,10098.77,26-02-2022 13:05,TXN_UROSKDZ54L
3000014,9206660,UPI,Success,10214.32,06-09-2022 11:23,TXN_CO8TRFPAX2
3000015,9089272,Card,Pending,634.04,18-05-2022 10:36,TXN_44TMPO621G
3000016,9125347,COD,Success,1856.33,02-07-2024 21:33,TXN_AVOZLXV295
3000017,9155910,NetBanking,Refunded,1007.55,04-07-2024 05:14,TXN_SARKO6WYVI
3000018,9241178,Wallet,Success,1403.15,29-04-2023 20:47,TXN_VL4NMFAN0G
3000019,9076095,COD,Success,2012.05,28-06-2023 21:27,TXN_9OGZFHXTME
3000020,9215812,COD,Success,475.92,14-06-2024 12:47,TXN_0964P1C6R6
3000021,9006748,Card,Success,775,18-01-2025 20:55,TXN_JX9PW72R7V
3000022,9069348,NetBanking,Success,1306.07,21-08-2022 22:24,TXN_VLX9B500KT
3000023,9019031,COD,Success,850.87,24-10-2022 14:29,TXN_FDEZCV61OH
3000024,9090487,UPI,Success,5456.31,30-08-2022 19:22,TXN_OXXND4HIJY
3000025,9064263,COD,Success,287.93,12-09-2023 09:48,TXN_XMZ0Y5MZBW
3000026,9184849,UPI,Success,921.93,13-08-2023 21:31,TXN_BYN3Y7NVVE
3000027,9157592,EMI,Failed,204995.8,16-07-2024 20:20,TXN_YI0L3U9R5Q
3000028,9150139,UPI,Success,1212.86,08-11-2024 09:10,TXN_HRT7SAQNGF
3000029,9156700,COD,Success,12833.69,15-07-2024 23:45,TXN_CKB2VLXPMW
3000030,9208332,COD,Success,14535.14,05-11-2022 15:19,TXN_XL0I6EN5JI
