refund_id,return_id,refund_amount,refund_status,refund_method,refund_processed_date,refund_reason_code
8500001,8022000,3682.07,Pending,Original Payment,18-03-2025,CHANGED_MIND
8500002,8003316,4723.2,Processed,UPI,13-01-2024,QUALITY_ISSUE
8500003,8024548,7419.7,Rejected,Wallet,30-04-2022,
8500004,8020163,1055.04,Processed,UPI,23-01-2022,CHANGED_MIND
8500005,8022732,1192.03,Processed,Original Payment,23-01-2024,NOT_AS_DESCRIBED
8500006,8011010,18090.81,Pending,Original Payment,01-09-2024,SIZE_ISSUE
8500007,8000027,53099.51,Processed,Coupon,18-01-2023,SIZE_ISSUE
8500008,8003085,1546.2,Pending,Bank Transfer,14-11-2022,WRONG_ITEM
8500009,8006164,7704.44,Pending,Original Payment,18-09-2024,WRONG_ITEM
8500010,8024923,351.18,Pending,Wallet,31-01-2025,NOT_AS_DESCRIBED
8500011,8000638,2890.36,Processed,Coupon,13-11-2022,NOT_AS_DESCRIBED
8500012,8025142,14605.5,Processed,Wallet,12-12-2024,SIZE_ISSUE
8500013,8012176,2309.94,Pending,Original Payment,16-10-2024,MISSING_PARTS
8500014,8044074,96996.24,Pending,Original Payment,23-06-2023,
8500015,8038795,748.69,Pending,Bank Transfer,14-06-2022,MISSING_PARTS
8500016,8004898,33074.32,Processed,Coupon,15-02-2023,DEFECTIVE
8500017,8003263,677.93,Processed,Wallet,24-10-2022,QUALITY_ISSUE
8500018,8008622,1173.49,Processed,Coupon,29-04-2025,CHANGED_MIND
8500019,8035441,476.89,Processed,Coupon,28-05-2023,DEFECTIVE
8500020,8019954,692.89,Processed,UPI,11-10-2024,CHANGED_MIND
8500021,8034757,2378249.11,Processed,Wallet,09-11-2023,WRONG_ITEM
8500022,8031950,129.5,Rejected,Original Payment,12-06-2022,CHANGED_MIND
8500023,8014105,1333.54,Processed,Original Payment,21-01-2024,
8500024,8029988,2276.59,Pending,Original Payment,15-01-2024,DAMAGED_PRODUCT
8500025,8039603,159.89,Processed,Wallet,03-11-2022,SIZE_ISSUE
8500026,8008234,1024.64,Processed,Original Payment,17-12-2024,WRONG_ITEM
8500027,8027393,1370.33,Processed,Original Payment,19-06-2024,SIZE_ISSUE
8500028,8036109,879.84,Processed,Original Payment,26-01-2024,CHANGED_MIND
8500029,8000836,31199.38,Processed,UPI,31-03-2024,DEFECTIVE
8500030,8010724,28654.35,Pending,Wallet,12-10-2023,
8500031,8005837,88287.74,Processed,Crypto,12-11-2022,DAMAGED_PRODUCT
8500032,8037173,3812.11,Processed,Original Payment,13-01-2024,
8500033,8039700,25968.39,Pending,Coupon,09-11-2022,
8500034,8026116,990.83,Processed,Original Payment,16-01-2024,MISSING_PARTS
8500035,8004912,7504.77,Processed,UPI,10-04-2025,DAMAGED_PRODUCT
8500036,8044124,1662.21,Processed,Original Payment,11-01-2024,DUPLICATE_ORDER
8500037,8014566,29796.06,Processed,Original Payment,10-02-2024,QUALITY_ISSUE
8500038,8044447,1334.39,Processed,Original Payment,26-01-2023,NOT_AS_DESCRIBED
8500039,8034809,1732.8,Rejected,UPI,20-11-2022,DEFECTIVE
8500040,8034695,3779635.93,Rejected,Wallet,16-10-2024,
8500041,8028993,4999.42,Pending,Wallet,13-08-2024,DUPLICATE_ORDER
8500042,8038064,241409.65,Rejected,Original Payment,07-11-2022,CHANGED_MIND
8500043,8024770,1149.37,Rejected,Wallet,25-11-2024,DAMAGED_PRODUCT
8500044,8035967,690.78,Pending,Original Payment,04-09-2024,MISSING_PARTS
8500045,8042573,577.43,Processed,Wallet,03-04-2026,DEFECTIVE
8500046,8010577,481.98,Processed,Wallet,23-02-2022,CHANGED_MIND
8500047,8032686,1903.24,Processed,Original Payment,01-06-2024,CHANGED_MIND
8500048,8012570,1171.97,Pending,Original Payment,06-07-2024,
8500049,8041017,7493.75,Pending,UPI,28-04-2024,MISSING_PARTS
8500050,8041971,848.6,Processed,UPI,07-01-2025,CHANGED_MIND
8500051,8035249,6434.06,Pending,UPI,30-11-2022,
8500052,8012719,7189.29,Rejected,Wallet,27-06-2022,QUALITY_ISSUE
8500053,8044899,2737.82,Rejected,Original Payment,10-10-2023,CHANGED_MIND
8500054,8032476,879.32,Pending,Original Payment,19-08-2022,NOT_AS_DESCRIBED
8500055,8030197,6498.1,Processed,UPI,16-04-2026,NOT_AS_DESCRIBED
8500056,8022874,15129.19,Rejected,Coupon,16-10-2024,DUPLICATE_ORDER
8500057,8035307,4965.45,Processed,Original Payment,03-04-2023,WRONG_ITEM
8500058,8043149,37991.27,PENDING,Bank Transfer,09-10-2023,
8500059,8023520,35806.47,Processed,Wallet,26-08-2022,CHANGED_MIND
8500060,8044053,547.9,Pending,Coupon,26-03-2025,WRONG_ITEM
8500061,8031301,20739.65,Pending,Wallet,01-09-2024,MISSING_PARTS
8500062,8012376,1973.52,Processed,Wallet,25-04-2024,DEFECTIVE
8500063,8013442,919.47,processed,UPI,07-04-2023,NOT_AS_DESCRIBED
8500064,8038301,25212.6,Rejected,UPI,17-03-2024,DUPLICATE_ORDER
8500065,8037892,478.27,Processed,UPI,18-10-2023,QUALITY_ISSUE
8500066,8043788,595.48,Pending,Bank Transfer,02-03-2022,NOT_AS_DESCRIBED
8500067,8030635,46974.82,Processed,UPI,21-04-2024,SIZE_ISSUE
8500068,8027237,16078.7,Processed,Wallet,14-12-2022,
8500069,8040520,2910.79,Pending,Wallet,28-11-2023,MISSING_PARTS
8500070,8025684,47716.72,PENDING,UPI,27-09-2022,NOT_AS_DESCRIBED
8500071,8020214,2064.6,Processed,Original Payment,23-11-2022,CHANGED_MIND
8500072,8001055,8978.97,Pending,Original Payment,30-10-2023,CHANGED_MIND
8500073,8034978,7883.49,Processed,Original Payment,08-11-2022,DEFECTIVE
8500074,8003948,209.29,Processed,Coupon,03-08-2023,NOT_AS_DESCRIBED
8500075,8019178,23835.36,Pending,Wallet,25-04-2022,DAMAGED_PRODUCT
8500076,8025252,1114.83,Processed,Original Payment,16-08-2022,MISSING_PARTS
8500077,8034813,9228.76,Processed,Original Payment,03-07-2024,
8500078,8035772,1069.71,Rejected,Bank Transfer,26-05-2023,DAMAGED_PRODUCT
8500079,8017137,1513.24,Processed,Wallet,09-10-2023,DEFECTIVE
8500080,8008893,1914,Pending,Original Payment,01-03-2024,DEFECTIVE
8500081,8021648,49924.63,Pending,Original Payment,07-10-2022,NOT_AS_DESCRIBED
8500082,8017007,3456.63,Processed,Original Payment,23-11-2022,
8500083,8019835,1248.41,Processed,Original Payment,14-05-2023,
8500084,8024861,3212.84,Pending,Original Payment,02-08-2023,WRONG_ITEM
8500085,8035306,1143.31,Processed,UPI,09-12-2023,DAMAGED_PRODUCT
8500086,8022065,156.98,processed,Original Payment,04-04-2025,DUPLICATE_ORDER
8500087,8034568,1511.84,Pending,Original Payment,19-01-2023,NOT_AS_DESCRIBED
8500088,8026007,1470.81,Processed,Coupon,26-03-2025,DAMAGED_PRODUCT
8500089,8005454,749.58,Processed,Original Payment,01-05-2023,CHANGED_MIND
8500090,8024176,1215.37,Processed,UPI,09-03-2022,DUPLICATE_ORDER
8500091,8037506,1231.59,Processed,Coupon,30-08-2023,NOT_AS_DESCRIBED
8500092,8012806,266.27,Processed,Coupon,08-02-2023,SIZE_ISSUE
8500093,8041551,426.49,Processed,Wallet,05-01-2023,DAMAGED_PRODUCT
8500094,8023308,39090.72,Processed,Wallet,02-09-2023,MISSING_PARTS
8500095,8011991,743.14,Processed,Coupon,05-05-2024,DEFECTIVE
8500096,8040588,1978.99,Rejected,Bank Transfer,21-01-2023,SIZE_ISSUE
8500097,8020184,3674128.9,Pending,Coupon,15-03-2025,DUPLICATE_ORDER
8500098,8022631,1148.09,Processed,Wallet,26-03-2025,SIZE_ISSUE
8500099,8039056,2263.51,Pending,Original Payment,20-08-2024,CHANGED_MIND
8500100,8022932,2249.82,Processed,Wallet,23-02-2025,QUALITY_ISSUE
8500101,8039801,411.82,Pending,Original Payment,25-11-2022,
8500102,8029463,1635.31,Rejected,Wallet,23-01-2024,QUALITY_ISSUE
8500103,8014307,551.19,Processed,Original Payment,01-10-2022,WRONG_ITEM
8500104,8014486,1104.66,Processed,Coupon,01-07-2022,DUPLICATE_ORDER
8500105,8003915,19717.93,Processed,Wallet,17-04-2023,CHANGED_MIND
8500106,8010650,6324.63,processed,Wallet,17-08-2024,
8500107,8002412,2710.21,Processed,Wallet,03-01-2024,DEFECTIVE
8500108,8032660,2304.67,Pending,Original Payment,23-02-2025,WRONG_ITEM
8500109,8003978,8314.54,Processed,Coupon,13-08-2024,QUALITY_ISSUE
8500110,8019491,1441.79,PENDING,UPI,14-05-2024,DEFECTIVE
8500111,8023277,376.16,Processed,Wallet,04-09-2022,SIZE_ISSUE
8500112,8042252,1451.86,Pending,UPI,04-01-2024,DUPLICATE_ORDER
8500113,8005861,162.09,Processed,UPI,17-08-2023,WRONG_ITEM
8500114,8006014,2507.3,processed,Original Payment,27-11-2024,DEFECTIVE
8500115,8011391,5832.53,Processed,Original Payment,14-02-2022,
8500116,8025693,729.5,Processed,Original Payment,09-05-2024,SIZE_ISSUE
8500117,8010220,9821.38,Pending,Original Payment,17-10-2023,
8500118,8038994,1552.01,Processed,Original Payment,24-07-2022,DAMAGED_PRODUCT
8500119,8008328,1146.44,Rejected,Original Payment,03-11-2023,DAMAGED_PRODUCT
8500120,8004777,6907.29,Pending,Bank Transfer,08-07-2022,MISSING_PARTS
8500121,8020502,3085.32,Processed,Wallet,27-02-2024,DAMAGED_PRODUCT
8500122,8002773,1435.91,Pending,Wallet,29-12-2024,SIZE_ISSUE
8500123,8038115,10158.19,Processed,Wallet,06-06-2023,CHANGED_MIND
8500124,8020519,8335.81,Processed,UPI,17-01-2022,DUPLICATE_ORDER
8500125,8003022,7147.58,Processed,Wallet,31-12-2023,CHANGED_MIND
8500126,8016943,68070.5,Processed,Wallet,16-11-2023,DEFECTIVE
8500127,8012816,924.54,Processed,Wallet,04-04-2022,NOT_AS_DESCRIBED
8500128,8019767,1011.22,Processed,Original Payment,29-08-2024,
8500129,8018376,7107.29,Processed,UPI,05-11-2024,NOT_AS_DESCRIBED
8500130,8024843,3763.81,Processed,UPI,04-05-2023,DEFECTIVE
8500131,8025289,8189.91,Pending,Wallet,31-07-2024,NOT_AS_DESCRIBED
8500132,8040413,1118.94,Processed,Original Payment,23-01-2023,SIZE_ISSUE
8500133,8020581,1535.76,Processed,Original Payment,29-11-2023,DUPLICATE_ORDER
8500134,8029995,3397.08,Processed,Original Payment,05-01-2023,
8500135,8044902,1253.74,Processed,Original Payment,25-03-2022,QUALITY_ISSUE
8500136,8000059,13215.57,Processed,Original Payment,11-12-2024,DEFECTIVE
8500137,8034496,18839.32,Processed,Wallet,03-03-2022,DUPLICATE_ORDER
8500138,8000922,1120.44,Processed,Original Payment,20-05-2023,NOT_AS_DESCRIBED
8500139,8009289,1977.53,Processed,Coupon,08-10-2022,WRONG_ITEM
8500140,8035462,38882.16,Pending,Wallet,30-10-2024,WRONG_ITEM
8500141,8027501,348.49,Processed,Coupon,24-08-2024,SIZE_ISSUE
8500142,8013367,305.8,PENDING,Wallet,05-03-2023,DEFECTIVE
8500143,8042487,1455.06,Processed,Original Payment,07-01-2025,MISSING_PARTS
8500144,8013395,23736.2,Pending,Coupon,02-04-2025,
8500145,8018071,724.09,Processed,UPI,31-01-2024,DUPLICATE_ORDER
8500146,8015879,289.57,Rejected,Original Payment,28-04-2025,
8500147,8029082,2023.49,Processed,Bank Transfer,09-05-2023,WRONG_ITEM
8500148,8019444,569.18,Processed,UPI,25-11-2023,DEFECTIVE
8500149,8042086,165,Processed,Original Payment,12-01-2023,SIZE_ISSUE
8500150,8019463,5256.67,Processed,Coupon,03-08-2022,NOT_AS_DESCRIBED
8500151,8018701,3187.43,PENDING,Original Payment,16-02-2023,WRONG_ITEM
8500152,8020705,16718.86,Pending,Original Payment,24-11-2024,MISSING_PARTS
8500153,8005096,6186.3,Rejected,Wallet,03-11-2024,DUPLICATE_ORDER
8500154,8002571,1167.84,Processed,Coupon,20-06-2024,QUALITY_ISSUE
8500155,8016062,624.02,Processed,Original Payment,09-04-2023,DEFECTIVE
8500156,8000243,684.53,Pending,Bank Transfer,03-11-2024,MISSING_PARTS
8500157,8022784,840.79,Rejected,Wallet,05-10-2023,MISSING_PARTS
8500158,8001567,1241.93,Pending,Wallet,06-11-2024,SIZE_ISSUE
