return_id,order_id,customer_id,return_reason,return_request_date,return_status,return_pickup_status,is_suspicious_return
8000001,9104490,102865,Missing parts,27-06-2024 10:59,Approved,Picked,0
8000002,9161939,131653,Wrong item delivered,24-11-2023 17:34,Approved,Not Picked,
8000003,9002298,101747,Duplicate order,17-09-2022 01:25,Rejected,Not Picked,0
8000004,9050756,127483,Duplicate order,22-07-2024 00:15,Pending,Picked,1
8000005,9089900,132093,Quality issue,18-06-2022 00:54,Pending,Picked,0
8000006,9007656,147657,Not as described,24-08-2022 22:43,REJECTED,Not Picked,1
8000007,9198633,,Better price elsewhere,31-01-2025 16:32,Approved,,0
8000008,9000632,144908,Duplicate order,13-05-2023 20:10,Approved,Not Picked,1
8000009,9107222,126447,Quality issue,02-08-2024 15:35,Approved,Not Picked,0
8000010,9186683,125358,Color mismatch,14-12-2023 00:57,Pending,,1
8000011,9071717,124674,Size issue,02-07-2022 02:49,Rejected,Not Picked,0
8000012,9095225,146146,Product not working,27-02-2024 10:00,Approved,Picked,0
8000013,9189681,105911,Packaging damaged,05-03-2025 20:08,Pending,,0
8000014,9215103,123646,Defective product,11-04-2024 06:13,Pending,Picked,0
8000015,9187145,135505,Defective product,16-10-2024 19:11,Rejected,Picked,0
8000016,9053451,137333,Changed mind,07-06-2024 15:55,Rejected,Picked,0
8000017,9109318,140515,Missing parts,29-10-2023 00:10,approved,Picked,0
8000018,9068230,127615,Packaging damaged,17-02-2024 07:02,Approved,Picked,0
8000019,9045539,135976,Missing parts,25-08-2022 08:00,Approved,Picked,0
8000020,9238477,139196,Product not working,04-01-2025 17:19,Rejected,Picked,0
8000021,9189331,131434,Wrong item delivered,22-01-2024 01:07,Approved,Not Picked,0
8000022,9114755,106982,Product not working,17-11-2023 16:22,Approved,Not Picked,0
8000023,9074446,138218,Defective product,11-11-2024 11:19,Pending,Picked,0
8000024,9030891,124173,Packaging damaged,20-03-2024 10:09,Pending,Failed,0
8000025,9070179,106214,Duplicate order,08-11-2022 15:36,Pending,Picked,0
8000026,497,112182,Quality issue,16-02-2022 07:59,Rejected,Picked,0
8000027,9162019,106691,Duplicate order,15-01-2023 01:15,Rejected,Picked,0
8000028,9009580,109132,Defective product,02-05-2022 20:49,Approved,Picked,0
8000029,9136882,126522,Changed mind,25-05-2023 14:56,Approved,Picked,0
8000030,9094102,101809,Packaging damaged,16-11-2022 21:39,Approved,Picked,0
8000031,9059537,100910,Missing parts,19-01-2023 09:52,pending,Picked,0
8000032,9138348,133004,Product not working,25-04-2022 07:46,Approved,Failed,0
8000033,9067167,122073,Product not working,10-12-2024 06:17,Rejected,Not Picked,0
8000034,9038967,149016,Damaged product,16-06-2022 03:39,Approved,Picked,0
8000035,9098769,146708,Defective product,21-11-2022 23:56,Approved,Picked,0
8000036,9024307,123398,Damaged product,19-11-2022 05:19,Rejected,Failed,0
8000037,9209558,130273,Quality issue,17-10-2022 08:21,Approved,Picked,0
8000038,9219699,116427,Better price elsewhere,11-10-2024 02:59,Rejected,Picked,0
8000039,9158225,106871,Not as described,26-01-2025 04:43,Approved,Not Picked,0
8000040,9222268,112544,Damaged product,30-11-2023 18:54,Rejected,Picked,0
8000041,9242282,111918,Damaged product,10-11-2022 22:15,Rejected,Failed,0
8000042,9081162,107827,Product not working,23-07-2022 07:53,Rejected,Picked,0
8000043,9225664,144295,Not as described,03-11-2022 04:58,Approved,Picked,0
8000044,9095267,142453,Packaging damaged,27-01-2024 01:16,Approved,Picked,0
8000045,9158457,139603,Packaging damaged,07-12-2023 07:09,Pending,Picked,0
8000046,9007301,146690,Defective product,05-03-2024 19:06,Rejected,Picked,0
8000047,9184724,121792,Size issue,13-09-2024 05:42,Approved,Picked,0
8000048,9050263,123952,Better price elsewhere,18-01-2024 04:55,Approved,Failed,0
8000049,9103096,145659,Changed mind,25-07-2022 06:07,Approved,Picked,0
8000050,9164682,126812,Missing parts,03-07-2022 20:58,Approved,Picked,0
8000051,9216172,125828,Duplicate order,29-06-2023 13:02,Pending,Failed,0
