seller_id,seller_name,seller_city,seller_rating,seller_type,onboarding_date,return_rate_percent,seller_status
7001,Best Shoppe,Hyderabad,3.45,Individual,11-03-2023,146.6,Active
7002,Sky Plaza,Visakhapatnam,4.19,Brand,18-06-2024,14.84,Active
7003,Sun Retail,Gurugram,3.28,Individual,04-04-2020,10.98,Active
7004,Apex Gallery,Jaipur,3.5,Brand,02-01-2025,17.17,Active
7005,Royal Depot,Chennai,4.62,Brand,29-09-2023,12.74,Suspended
7006,Zen Plaza,Thiruvananthapuram,4.58,individual,03-03-2024,10.45,Inactive
7007,Quick Depot,Noida,2.69,Individual,16-10-2021,2.69,Active
7008,Star Hub,Hyderabad,3.66,Brand,08-03-2022,13.27,Inactive
7009,Sky Deals,Bangalore,3.47,Brand,07-01-2023,12.47,Active
7010,Easy World,Mumbai,4.17,Brand,17-09-2024,3.68,Active
7011,Nova Gallery,Mumbai,3.57,Individual,16-06-2021,5.44,Suspended
7012,Nova World,Indore,4.59,Brand,16-04-2020,8.35,Inactive
7013,Beta Electronics,Noida,4.05,Business,22-08-2020,5.58,Suspended
7014,Royal Plaza,Jaipur,4.44,Business,31-03-2023,7.55,active
7015,Nova Hub,Jaipur,3.11,Business,02-11-2023,3.54,Inactive
7016,Super Shoppe,Bangalore,4.12,Business,30-09-2022,21.18,Inactive
7017,Star Bazaar,Chennai,3.18,Business,17-09-2022,18.34,Active
7018,Easy Traders,Visakhapatnam,3.66,Business,28-02-2020,7.83,Active
7019,Quick Retail,Kolkata,3.19,BUSINESS,24-06-2020,9.53,Active
7020,Bright Outlet,Mumbai,3.05,Business,06-04-2023,12.62,Invalid_Status
7021,Peak Retail,Visakhapatnam,3.13,Individual,01-09-2020,20.97,Active
7022,Bright World,Gurugram,3.21,Individual,10-04-2021,7.35,Active
7023,Beta Fashion,Jaipur,4.09,Individual,26-01-2020,10.86,Active
7024,Beta World,Visakhapatnam,2.66,Business,06-11-2023,4.13,Active
7025,Easy Enterprises,Hyderabad,4.48,Business,11-07-2022,7.24,Active
7026,Sky Plaza,Jaipur,4.41,Individual,15-06-2020,4.65,Active
7027,Zen Plaza,Mumbai,4.27,Business,08-11-2023,6.56,Active
7028,Smart Bazaar,Noida,4.77,Individual,05-12-2020,13.5,Inactive
7029,Zen Enterprises,Lucknow,4.86,Business,13-06-2020,19.68,Active
7030,Alpha Traders,Ahmedabad,3.94,BRAND,08-10-2023,13.1,Active
